ID,Category,Component,Description,Qty,Unit_Price_USD,Total_USD,Supplier,Part_Number,Link_or_Search,Notes
BOM-022,Hardware,Nylon Standoff M3 × 5mm × 8pcs,Nylon standoffs for FC and Pi mounting,1,2.00,2.00,Amazon,,Search: nylon M3 standoff 5mm,Non-conductive. Do not use metal under FC — RF interference.
BOM-023,Wire + Connectors,Silicone Wire 26AWG 1m each – 5 colours,Flexible silicone wire for all signal and power connections,1,8.00,8.00,Amazon,,Search: 26AWG silicone wire 5 colour,Use 22AWG for high-current servo power rails.
BOM-024,Wire + Connectors,JST-SH 1mm 4-pin Connector pairs × 5,Micro connectors for sensor connections (GPS / IMU / Baro),1,5.00,5.00,Adafruit / Amazon,#4328,Search: JST-SH 1mm 4pin,For clean modular wiring.
BOM-025,Wire + Connectors,Servo Extension 15cm × 5,Male-female servo extension cables,1,4.00,4.00,Hobbyking / Amazon,,Search: servo extension 15cm,Run from FC servo outputs to fin servos.
BOM-026,Adhesives,30-Minute Epoxy – 50ml syringe,Two-part structural epoxy for bonding 3D prints to CF tube,1,6.00,6.00,Loctite / Amazon,Loctite EA 3430,Search: 30 minute epoxy structural,Do NOT use 5-minute epoxy for structural bonds. 30-min gives proper cure time.
BOM-027,Adhesives,Thread-locking compound (Loctite 243),Medium-strength thread locker for all servo and mount screws,1,5.00,5.00,Loctite,,Loctite 243 blue,Apply to all servo mount M3 screws. Critical — vibration will loosen screws in flight.
BOM-028,Finish,Spray Paint – Flat Black,Cosmetic finish for printed parts and CF tube,1,4.00,4.00,Local hardware,,Any flat black rattle-can,Optional but reduces visual signature during testing.
BOM-029,Target,Red Carpet 1m × 1m,Red short-pile carpet as optical target marker,1,15.00,15.00,Local home goods / Amazon,,Search: red carpet 1m x 1m,Cut to exactly 1m² for known apparent size calculations.
BOM-030,Target,Impact Cushion – Foam Block 60cm × 60cm × 30cm,High-density EVA or polyurethane foam cushion to absorb nose impact,1,20.00,20.00,Amazon / Local foam supplier,,Search: EVA foam block 60x60x30,Place ON TOP of red carpet. Pod impacts nose-first onto cushion. Min 30cm thick. High-density (firm) preferred.
BOM-031,Tools,Servo Tester / Analyser,PWM servo tester for calibration and verification,1,6.00,6.00,Amazon,,Search: servo tester digital,Essential for zeroing all 4 fin servos before first flight.
BOM-032,Tools,LiPo Battery Charger,Balance charger compatible with 3S LiPo,1,25.00,25.00,ISDT / iCharger,,Search: ISDT Q6 3S LiPo charger,Required for safe LiPo management.
,,,,,,,,,,
,,,TOTAL COMPONENT COST (excl. tools and carrier aircraft):,,~$265,,,,
,,,NOTE: Carrier aircraft and RC transmitter/receiver pair not included in this BOM,,,,,,
,,,NOTE: GCS laptop and Mission Planner software (free) not included,,,,,,
